Date,Open,High,Low,Close,Adj Close,Volume
2008-09-01,39.220001,39.560001,31.690001,33.400002,24.852894,292520300
2008-10-01,32.759998,33.189999,21.200001,25.920000,19.401192,436234900
2008-11-01,25.969999,27.299999,18.809999,23.150000,17.327843,217830800
2008-12-01,22.770000,24.870001,20.469999,22.740000,17.020954,193435000
2009-01-01,22.900000,24.400000,20.930000,21.059999,15.955278,215556800
2009-02-01,20.840000,23.030001,19.000000,19.370001,14.674928,193521000
2009-03-01,19.000000,23.540001,17.830000,22.209999,16.826530,170908800
2009-04-01,21.860001,25.930000,21.650000,25.670000,19.566204,158466400
2009-05-01,25.700001,28.020000,25.260000,27.170000,20.709541,203572600
2009-06-01,27.620001,28.660000,24.590000,25.799999,19.665293,248749100
2009-07-01,26.080000,29.389999,23.850000,29.120001,22.313934,218346700
2009-08-01,29.629999,30.680000,28.510000,29.809999,22.842661,229652000
2009-09-01,29.600000,32.779999,28.670000,30.940001,23.708559,199575200
2009-10-01,30.830000,32.669998,29.070000,29.340000,22.575882,228630500
2009-11-01,29.450001,33.279999,28.950001,32.500000,25.007366,213951600
2009-12-01,33.029999,33.720001,31.670000,32.990002,25.384403,179139600
2010-01-01,33.580002,35.380001,30.120001,30.139999,23.319668,223790300
2010-02-01,30.459999,32.580002,29.480000,31.500000,24.371916,374428400
2010-03-01,31.670000,34.419998,31.500000,33.919998,26.244299,303580900
2010-04-01,34.259998,35.470001,33.740002,33.990002,26.355516,198686200
2010-05-01,34.080002,34.240002,28.870001,30.750000,23.843252,377801500
2010-06-01,30.440001,31.799999,28.250000,28.370001,21.997828,267386600
2010-07-01,28.340000,32.500000,27.670000,32.009998,24.929932,218768300
2010-08-01,32.520000,32.930000,29.879999,31.040001,24.174482,226043800
2010-09-01,31.440001,33.520000,31.420000,32.779999,25.529615,181201200
2010-10-01,32.980000,35.169998,32.560001,34.799999,27.654427,200257700
2010-11-01,34.980000,36.709999,34.200001,35.189999,27.964354,245011800
2010-12-01,35.779999,38.590000,35.700001,38.410000,30.523178,141807300
2011-01-01,38.820000,39.110001,37.240002,38.439999,30.795387,209921200
2011-02-01,38.799999,40.830002,37.939999,39.459999,31.612534,195828800
2011-03-01,39.549999,40.230000,36.439999,40.020000,32.061172,341428500
2011-04-01,40.250000,41.279999,38.439999,40.869999,32.850266,232745700
2011-05-01,41.020000,41.169998,37.730000,39.750000,31.950024,346507400
2011-06-01,39.570000,39.639999,36.369999,39.369999,31.644592,353230100
2011-07-01,39.380001,40.720001,37.630001,38.009998,30.722385,217704800
2011-08-01,38.709999,38.740002,31.610001,35.340000,28.564291,477190000
2011-09-01,35.310001,35.709999,29.320000,29.360001,23.730835,360051100
2011-10-01,29.030001,36.139999,27.770000,34.450001,27.993032,302548100
2011-11-01,33.099998,35.730000,31.410000,34.520000,28.049908,290486300
2011-12-01,34.340000,35.009998,31.860001,33.500000,27.221083,233453200
2012-01-01,34.240002,37.730000,34.230000,37.180000,30.421644,171601400
2012-02-01,37.480000,37.970001,36.400002,36.970001,30.249821,179524000
2012-03-01,37.189999,37.650002,35.799999,36.970001,30.249821,201651000
2012-04-01,36.919998,37.630001,35.099998,36.669998,30.118584,204024300
2012-05-01,36.669998,37.099998,32.650002,33.820000,27.777767,225930300
2012-06-01,33.230000,35.540001,32.590000,35.290001,28.985140,190428000
2012-07-01,35.209999,35.770000,33.680000,34.840000,28.770630,202662500
2012-08-01,35.020000,36.630001,34.169998,35.650002,29.439524,147841900
2012-09-01,35.689999,38.570000,35.070000,36.799999,30.389179,141764600
2012-10-01,37.040001,38.049999,35.700001,36.029999,29.909157,176618900
2012-11-01,36.110001,37.000000,34.439999,36.700001,30.465326,150930100
2012-12-01,36.810001,37.680000,35.439999,37.540001,31.162634,173921500
2013-01-01,38.410000,39.869999,38.080002,39.020000,32.677532,164005100
2013-02-01,39.230000,39.599998,37.349998,38.490002,32.233685,159938700
2013-03-01,38.240002,40.040001,38.009998,39.180000,32.811539,132661800
2013-04-01,39.150002,39.770000,37.099998,39.549999,33.257824,210161000
2013-05-01,39.340000,41.610001,38.669998,40.299999,33.888493,134799200
2013-06-01,40.410000,40.740002,37.779999,38.349998,32.248741,148313200
2013-07-01,38.770000,41.080002,38.189999,40.480000,34.300491,115683800
2013-08-01,40.750000,41.680000,40.180000,40.430000,34.258125,99124300
2013-09-01,41.029999,43.779999,40.480000,42.009998,35.596916,121361300
2013-10-01,42.009998,44.360001,41.080002,43.770000,37.274014,126165000
2013-11-01,43.820000,45.070000,43.270000,44.340000,37.759418,84063900
2013-12-01,44.480000,46.220001,43.509998,46.220001,39.360405,107158100
2014-01-01,45.939999,46.570000,43.369999,44.040001,37.740074,120835300
2014-02-01,43.970001,47.250000,42.779999,47.080002,40.345215,149945700
2014-03-01,46.700001,48.259998,46.259998,47.279999,40.516602,133617100
2014-04-01,47.500000,48.340000,45.919998,47.669998,41.013973,111333100
2014-05-01,47.619999,49.119999,47.270000,49.080002,42.227097,79434200
2014-06-01,49.160000,49.869999,48.700001,49.639999,42.708916,105917500
2014-07-01,49.700001,50.369999,48.650002,48.650002,42.053104,95384000
2014-08-01,48.549999,50.599998,48.380001,50.529999,43.678196,84296500
2014-09-01,50.520000,50.860001,49.500000,49.590000,42.865643,98213500
2014-10-01,49.500000,49.500000,44.090000,48.400002,42.031044,306802300
2014-11-01,48.419998,51.009998,47.340000,49.160000,42.691032,104507200
2014-12-01,49.009998,50.110001,46.180000,48.580002,42.187347,128631400
2015-01-01,48.580002,49.090000,46.439999,47.689999,41.675529,109144000
2015-02-01,47.740002,52.220001,47.419998,51.490002,44.996296,73828900
2015-03-01,51.509998,51.849998,48.389999,48.779999,42.628059,84028400
2015-04-01,48.880001,50.919998,48.480000,50.419998,44.227882,61155300
2015-05-01,50.730000,51.779999,50.119999,50.610001,44.394550,71380300
2015-06-01,50.730000,51.150002,48.189999,48.389999,42.447189,72515000
2015-07-01,48.869999,48.889999,44.430000,45.950001,40.491035,129751900
2015-08-01,45.910000,46.509998,39.349998,43.360001,38.208736,173638400
2015-09-01,42.220001,43.740002,38.830002,39.919998,35.177422,150428500
2015-10-01,40.080002,45.660000,39.560001,45.279999,40.122604,190926700
